date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:59:05	162/162	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2005%20Nov%202022%2023:59:04%20GMT	https://technext.github.io/carserv	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv.0.delayed	(from )
18:59:06	39454/39454	---M-Z	200	added ('OK')	text/html	etag:W/%22620b3961-9a1e%22	https://technext.github.io/carserv/	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/index.html	(from )
18:59:06	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2263658b4c-247b%22	https://technext.github.io/robots.txt		(from )
18:59:06	11545/11545	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%22620b3961-2d19%22	https://technext.github.io/carserv/img/favicon.ico	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/favicon.ico	(from https://technext.github.io/carserv/)
18:59:06	56517/56517	---M-Z	200	added ('OK')	text/css	etag:%225eb03e60-dcc5%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	C:/My%20Web%20Sites/GCQG05112022/cdnjs.cloudflare.com/ajax/libs/font-awesome/5.10.0/css/all.min.css	(from https://technext.github.io/carserv/)
18:59:07	63666/63666	---M-Z	200	added ('OK')	text/css	etag:W/%22f8b2-v7ZMVELJO4O8jF4rcNGwrm8YAaE%22	https://cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	C:/My%20Web%20Sites/GCQG05112022/cdn.jsdelivr.net/npm/bootstrap-icons@1.4.1/font/bootstrap-icons.css	(from https://technext.github.io/carserv/)
18:59:07	16953/16953	---M-Z	200	added ('OK')	text/css	etag:W/%22620b3961-4239%22	https://technext.github.io/carserv/lib/animate/animate.min.css	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/lib/animate/animate.min.css	(from https://technext.github.io/carserv/)
18:59:07	2936/2936	---M-Z	200	added ('OK')	text/css	etag:W/%22620b3961-b78%22	https://technext.github.io/carserv/lib/owlcarousel/assets/owl.carousel.min.css	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/lib/owlcarousel/assets/owl.carousel.min.css	(from https://technext.github.io/carserv/)
18:59:07	9058/9058	---M-Z	200	added ('OK')	text/css	etag:W/%22620b3961-2362%22	https://technext.github.io/carserv/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/lib/tempusdominus/css/tempusdominus-bootstrap-4.min.css	(from https://technext.github.io/carserv/)
18:59:08	164136/164136	---M-Z	200	added ('OK')	text/css	etag:W/%22620b3961-28128%22	https://technext.github.io/carserv/css/bootstrap.min.css	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/css/bootstrap.min.css	(from https://technext.github.io/carserv/)
18:59:08	7093/7093	---M-Z	200	added ('OK')	text/css	etag:W/%22620b3961-1bb5%22	https://technext.github.io/carserv/css/style.css	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/css/style.css	(from https://technext.github.io/carserv/)
18:59:08	39454/39454	---M-Z	200	added ('OK')	text/html	etag:W/%22620b3961-9a1e%22	https://technext.github.io/carserv/index.html	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/index-2.html	(from https://technext.github.io/carserv/)
18:59:08	22613/22613	---M-Z	200	added ('OK')	text/html	etag:W/%22620b3961-5855%22	https://technext.github.io/carserv/about.html	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/about.html	(from https://technext.github.io/carserv/)
18:59:09	24957/24957	---M-Z	200	added ('OK')	text/html	etag:W/%22620b3961-617d%22	https://technext.github.io/carserv/service.html	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/service.html	(from https://technext.github.io/carserv/)
18:59:09	17307/17307	---M-Z	200	added ('OK')	text/html	etag:W/%22620b3961-439b%22	https://technext.github.io/carserv/booking.html	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/booking.html	(from https://technext.github.io/carserv/)
18:59:09	19472/19472	---M-Z	200	added ('OK')	text/html	etag:W/%22620b3961-4c10%22	https://technext.github.io/carserv/team.html	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/team.html	(from https://technext.github.io/carserv/)
18:59:09	13544/13544	---M-Z	200	added ('OK')	text/html	etag:W/%22620b3961-34e8%22	https://technext.github.io/carserv/testimonial.html	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/testimonial.html	(from https://technext.github.io/carserv/)
18:59:10	11545/11545	---M-Z	200	added ('OK')	text/html	etag:W/%22620b3961-2d19%22	https://technext.github.io/carserv/404.html	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/404.html	(from https://technext.github.io/carserv/)
18:59:10	15592/15592	---M-Z	200	added ('OK')	text/html	etag:W/%22620b3961-3ce8%22	https://technext.github.io/carserv/contact.html	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/contact.html	(from https://technext.github.io/carserv/)
18:59:10	191139/191139	---M--	200	added ('OK')	image/jpeg	etag:%22620b3961-2eaa3%22	https://technext.github.io/carserv/img/carousel-bg-1.jpg	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/carousel-bg-1.jpg	(from https://technext.github.io/carserv/)
18:59:10	118295/118295	---M--	200	added ('OK')	image/png	etag:%22620b3961-1ce17%22	https://technext.github.io/carserv/img/carousel-1.png	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/carousel-1.png	(from https://technext.github.io/carserv/)
18:59:10	221941/221941	---M--	200	added ('OK')	image/jpeg	etag:%22620b3961-362f5%22	https://technext.github.io/carserv/img/carousel-bg-2.jpg	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/carousel-bg-2.jpg	(from https://technext.github.io/carserv/)
18:59:11	115013/115013	---M--	200	added ('OK')	image/png	etag:%22620b3961-1c145%22	https://technext.github.io/carserv/img/carousel-2.png	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/carousel-2.png	(from https://technext.github.io/carserv/)
18:59:11	42176/42176	---M--	200	added ('OK')	image/jpeg	etag:%22620b3961-a4c0%22	https://technext.github.io/carserv/img/about.jpg	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/about.jpg	(from https://technext.github.io/carserv/)
18:59:11	53412/53412	---M--	200	added ('OK')	image/jpeg	etag:%22620b3961-d0a4%22	https://technext.github.io/carserv/img/service-1.jpg	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/service-1.jpg	(from https://technext.github.io/carserv/)
18:59:11	30537/30537	---M--	200	added ('OK')	image/jpeg	etag:%22620b3961-7749%22	https://technext.github.io/carserv/img/service-2.jpg	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/service-2.jpg	(from https://technext.github.io/carserv/)
18:59:12	41462/41462	---M--	200	added ('OK')	image/jpeg	etag:%22620b3961-a1f6%22	https://technext.github.io/carserv/img/service-3.jpg	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/service-3.jpg	(from https://technext.github.io/carserv/)
18:59:12	30278/30278	---M--	200	added ('OK')	image/jpeg	etag:%22620b3961-7646%22	https://technext.github.io/carserv/img/service-4.jpg	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/service-4.jpg	(from https://technext.github.io/carserv/)
18:59:12	35525/35525	---M--	200	added ('OK')	image/jpeg	etag:%22620b3961-8ac5%22	https://technext.github.io/carserv/img/team-1.jpg	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/team-1.jpg	(from https://technext.github.io/carserv/)
18:59:12	21460/21460	---M--	200	added ('OK')	image/jpeg	etag:%22620b3961-53d4%22	https://technext.github.io/carserv/img/team-2.jpg	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/team-2.jpg	(from https://technext.github.io/carserv/)
18:59:13	30119/30119	---M--	200	added ('OK')	image/jpeg	etag:%22620b3961-75a7%22	https://technext.github.io/carserv/img/team-3.jpg	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/team-3.jpg	(from https://technext.github.io/carserv/)
18:59:13	21777/21777	---M--	200	added ('OK')	image/jpeg	etag:%22620b3961-5511%22	https://technext.github.io/carserv/img/team-4.jpg	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/team-4.jpg	(from https://technext.github.io/carserv/)
18:59:13	3451/3451	---M--	200	added ('OK')	image/jpeg	etag:%22620b3961-d7b%22	https://technext.github.io/carserv/img/testimonial-1.jpg	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/testimonial-1.jpg	(from https://technext.github.io/carserv/)
18:59:13	3517/3517	---M--	200	added ('OK')	image/jpeg	etag:%22620b3961-dbd%22	https://technext.github.io/carserv/img/testimonial-2.jpg	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/testimonial-2.jpg	(from https://technext.github.io/carserv/)
18:59:13	3066/3066	---M--	200	added ('OK')	image/jpeg	etag:%22620b3961-bfa%22	https://technext.github.io/carserv/img/testimonial-3.jpg	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/testimonial-3.jpg	(from https://technext.github.io/carserv/)
18:59:14	3268/3268	---M--	200	added ('OK')	image/jpeg	etag:%22620b3961-cc4%22	https://technext.github.io/carserv/img/testimonial-4.jpg	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/img/testimonial-4.jpg	(from https://technext.github.io/carserv/)
18:59:15	79665/79665	---M-Z	200	added ('OK')	application/javascript	etag:W/%2213731-2JYXAt9UqpcPHzAIfI0LH2lnx4Q%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/GCQG05112022/cdn.jsdelivr.net/npm/bootstrap@5.0.0/dist/js/bootstrap.bundle.min.js	(from https://technext.github.io/carserv/)
18:59:15	88145/88145	---M-Z	200	added ('OK')	application/javascript	etag:W/%2262f659d6-15851%22	https://code.jquery.com/jquery-3.4.1.min.js	C:/My%20Web%20Sites/GCQG05112022/code.jquery.com/jquery-3.4.1.min.js	(from https://technext.github.io/carserv/)
18:59:15	8156/8156	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620b3961-1fdc%22	https://technext.github.io/carserv/lib/wow/wow.min.js	C:/My%20Web%20Sites/GCQG05112022/technext.github.io/carserv/lib/wow/wow.min.js	(from https://technext.github.io/carserv/)
